No,Name,City_One,City_Two,City_Three,Agriculture,Animals,Energy,Metals,Region,Adjacent Units
0,Turkish Mediterranean Coast,NA,NA,NA,5,2,0,2,Greater Turkey,"1, 2"
1,Turkish Black Sea Coast,NA,NA,NA,2,2,0,2,Greater Turkey,"0, 2, 3"
2,Eastern Anatolia,NA,NA,NA,0,0,4,1,Greater Turkey,"0, 1, 3, 4, 5, 16"
3,Caucasus,NA,NA,NA,0,0,5,4,Greater Turkey,"1, 2, 16"
4,Syria,NA,NA,NA,2,0,4,0,Greater Iraq,"2, 5, 6, 8"
5,Northern Iraq,NA,NA,NA,4,0,5,0,Greater Iraq,"4, 2, 16, 17, 7, 6"
6,Anbar,Baghdad,NA,NA,0,0,1,0,Greater Iraq,"8, 4, 5, 7, 9"
7,Southern Iraq,Baghdad,NA,NA,1,0,5,0,Greater Iraq,"9, 6, 5, 17"
8,Eastern Mediterranean Coast,NA,NA,NA,1,1,0,1,Red Sea Coast,"4, 6, 9, 10"
9,Shammar (Saudi Arabia),NA,NA,NA,0,0,5,0,Red Sea Coast,"8, 6, 7, 14, 10"
10,Hejaz (Saudi Arabia),NA,NA,NA,0,1,0,0,Red Sea Coast,"8, 9, 14, 11"
11,Asir (Saudi Arabia),NA,NA,NA,0,1,0,2,Red Sea Coast,"10, 14, 12"
12,Yemen,NA,NA,NA,0,1,2,0,Southern Arabia,"11, 14, 13"
13,Oman,NA,NA,NA,0,0,5,0,Southern Arabia,"12, 14, 15"
14,Rub al Khali,Dubai,NA,NA,0,0,5,0,Southern Arabia,"12, 11, 10, 9, 15, 13"
15,United Arab Emirates,Dubai,NA,NA,0,0,5,0,Southern Arabia,"13, 14"
16,Tabriz (Iran),Tehran,NA,NA,3,0,0,2,Iran,"5, 2, 3, 18, 17, 19"
17,Shiraz (Iran),Dubai,Tehran,NA,3,0,5,2,Iran,"7, 5, 16, 18"
18,Mashhad (Iran),NA,NA,NA,0,0,0,4,Iran,"17, 16, 19, 21, 27"
19,Turkmenistan,NA,NA,NA,0,0,3,0,Greater Afghanistan,"18, 16, 25, 20, 21"
20,Uzbekistan,Tashkent,NA,NA,3,0,3,0,Greater Afghanistan,"19, 25, 24, 23, 22, 21"
21,Afghanistan,NA,NA,NA,2,0,0,1,Greater Afghanistan,"18, 19, 20, 22, 30, 27"
22,Tajikistan,Tashkent,NA,NA,0,0,0,2,Greater Afghanistan,"21, 20, 23, 54, 55"
23,Kyrgyzstan,Tashkent,NA,NA,0,0,0,2,Greater Kazakhstan,"22, 20, 24, 54"
24,Karagandy (Kazakhstan),Tashkent,NA,NA,0,0,3,4,Greater Kazakhstan,"20, 25, 26, 54, 23"
25,Atyrau (Kazakhstan),NA,NA,NA,0,0,3,0,Greater Kazakhstan,"19, 20, 24, 26"
26,Akmola (Kazakhstan),NA,NA,NA,3,0,0,0,Greater Kazakhstan,"25, 24, 54"
27,Baluchistan (Pakistan),Karachi,NA,NA,0,0,0,1,Pakistan,"18, 21, 30, 29, 28"
28,Sindh (Pakistan),Karachi,NA,NA,1,3,0,0,Pakistan,"27, 29, 32"
29,Punjab (Pakistan),Lahore,NA,NA,5,3,0,0,Pakistan,"28, 27, 30, 31, 32"
30,Khyber Pass (Pakistan),NA,NA,NA,0,1,0,0,Pakistan,"27, 21, 55, 31, 29"
31,Kashmir,Lahore,Delhi,NA,3,3,0,0,Northern India,"29, 30, 55, 34, 33, 32"
32,Gujarat,Delhi,Mumbai,NA,2,4,0,0,Northern India,"28, 29, 31, 33, 35"
33,Uttar Pradesh,Delhi,NA,NA,5,4,0,0,Northern India,"32, 31, 34, 40, 39, 36, 35"
34,Nepal,NA,NA,NA,0,1,0,0,Northern India,"31, 55, 40, 33"
35,Maharashtra,Mumbai,NA,NA,3,1,0,2,Southern India,"32, 33, 36, 37"
36,West Bengal,Calcutta,NA,NA,5,5,2,1,Southern India,"37, 35, 33, 39"
37,Tamil Nadu,Mumbai,NA,NA,5,4,0,0,Southern India,"35, 36, 38"
38,Sri Lanka,NA,NA,NA,4,0,0,0,Southern India,37
39,Bangladesh,Dhaka,Calcutta,NA,5,5,0,0,Andaman Sea Coast,"36, 33, 40, 41"
40,Assam,NA,NA,NA,2,4,0,0,Andaman Sea Coast,"39, 33, 34, 55, 58, 41"
41,Myanmar,Dhaka,NA,NA,3,2,2,0,Andaman Sea Coast,"39, 40, 58, 47, 42"
42,Thailand,Bangkok,NA,NA,3,2,0,1,Andaman Sea Coast,"41, 47, 48, 43"
43,Malaysia,Singapore,NA,NA,0,0,1,1,Greater Indonesia,"42, 44, 45"
44,Sumatra,Singapore,Jakarta,NA,3,1,4,1,Greater Indonesia,"43, 45, 46"
45,Borneo,Singapore,Jakarta,NA,1,0,5,2,Greater Indonesia,"46, 44, 43, 51"
46,Java,Jakarta,NA,NA,5,5,3,2,Greater Indonesia,"44, 45"
47,Laos,NA,NA,NA,0,0,0,2,Southeast China,"42, 48, 50, 49, 41, 58"
48,Cambodia,Bangkok,NA,NA,2,1,0,0,Southeast China,"42, 47, 50"
49,Northern Vietnam,NA,NA,NA,3,1,0,2,Southeast China,"47, 50, 58, 60"
50,Southern Vietnam,NA,NA,NA,3,2,0,0,Southeast China,"48, 47, 49, 52"
51,Mindanao,Manila,NA,NA,2,1,0,3,Greater Philippines,"45, 52"
52,Luzon,Manila,NA,NA,3,1,0,5,Greater Philippines,"50, 60, 53, 51"
53,Taiwan,Guangzhou,NA,NA,0,2,0,1,Greater Philippines,"52, 60, 62"
54,Xinjiang,NA,NA,NA,0,0,4,2,Western China,"22, 23, 24, 26, 69, 56, 55"
55,Tibet,NA,NA,NA,0,0,2,2,Western China,"30, 22, 54, 56, 57, 58, 40, 34, 31"
56,Qinghai,NA,NA,NA,0,0,3,0,Western China,"55, 54, 69, 68, 65, 57"
57,Sichuan,Chongqing,NA,NA,5,5,0,0,Southwestern China,"55, 56, 65, 59, 58"
58,Yunnan,Chongqing,NA,NA,2,0,0,4,Southwestern China,"41, 40, 55, 57, 59, 60, 49, 47"
59,Hunan,Chongqing,NA,NA,2,2,0,0,Southwestern China,"58, 57, 65, 64, 61, 60"
60,Guangdong,Guangzhou,NA,NA,5,4,0,0,Southeastern China,"49, 58, 59, 61, 62, 53, 52"
61,Jiangxi,Guangzhou,NA,NA,4,3,0,0,Southeastern China,"60, 59, 64, 63, 62"
62,Fujian,Guangzhou,NA,NA,2,2,0,0,Southeastern China,"60, 61, 63, 53"
63,Zhejiang,Shanghai,NA,NA,0,4,0,0,Southeastern China,"62, 61, 64, 66"
64,Anhui,Shanghai,NA,NA,0,4,0,2,East-central China,"59, 65, 66, 63, 61"
65,Shanxi,NA,NA,NA,0,2,4,5,East-central China,"56, 68, 67, 66, 64, 59, 57"
66,Shandong,Shanghai,NA,NA,4,5,0,3,East-central China,"63, 64, 65, 67, 74, 73"
67,Hebei,Beijing,NA,NA,1,4,0,0,East-central China,"66, 65, 68, 70"
68,Inner Mongolia,NA,NA,NA,4,1,3,4,Northeastern China,"56, 69, 71, 70, 67, 65"
69,Mongolia,NA,NA,NA,0,0,0,5,Northeastern China,"54, 56, 68, 71"
70,Liaoning,Beijing,NA,NA,4,0,0,2,Northeastern China,"67, 68, 71, 72"
71,Manchuria,NA,NA,NA,4,2,0,2,Northeastern China,"69, 68, 70, 72"
72,North Korea,Seoul,NA,NA,0,0,0,2,Japan and Korea,"73, 70, 71"
73,South Korea,Seoul,NA,NA,2,5,0,0,Japan and Korea,"72, 74, 66"
74,Lower Honshu & Kyushu,Tokyo,NA,NA,1,2,0,2,Japan and Korea,"73, 75, 66"
75,Upper Honshu & Hokkaido,Tokyo,NA,NA,3,2,0,3,Japan and Korea,74
