No,Name,City_One,City_Two,City_Three,Agriculture,Animals,Energy,Metals,Region,Adjacent Units
1,Coastal Range,Seattle,NA,NA,0,1,0,0,Pacific Northwest,"6, 5, 3, 2"
2,Willamette Valley,Seattle,NA,NA,0,2,0,0,Pacific Northwest,"1, 3"
3,Cascade Range ,Seattle,NA,NA,0,0,0,2,Pacific Northwest,"1, 2, 5, 4"
4,Upper Columbia Plateau,NA,NA,NA,3,2,0,2,Pacific Northwest,"3, 5, 17"
5,Lower Columbia Plateau,NA,NA,NA,0,1,0,0,Greater Idaho,"1, 6, 14, 16, 17, 4, 3"
6,Redwood Country,San Francisco Bay,NA,NA,0,1,0,2,Northern California,"1, 5, 14, 10, 7"
7,Sacramento Valley,San Francisco Bay,NA,NA,3,2,4,0,Northern California,"6, 10, 8, 9"
8,San Joaquin Valley,Los Angeles,NA,NA,5,5,3,0,Southern California,"7, 10, 11, 9"
9,San Gabriel Mountains,San Francisco Bay,Los Angeles,NA,1,0,0,0,Southern California,"7, 8"
10,Sierra Nevadas,Las Vegas,NA,NA,0,0,0,5,Northern California,"6,7, 8, 11, 13, 14"
11,Inland Empire,Los Angeles,San Diego,Las Vegas,0,2,0,0,Southern California,"8, 10, 13, 12"
12,Mojave Desert,San Diego,Las Vegas,NA,0,2,0,2,Southern California,"11, 21, 22"
13,Lower Great Basin,Las Vegas,NA,NA,0,0,0,5,Nevada and Utah,"10, 11, 21, 15, 14"
14,Upper Great Basin,Las Vegas,NA,NA,0,0,0,5,Nevada and Utah,"6, 10, 13, 15,16, 5"
15,Wasatch Range,NA,NA,NA,0,0,0,2,Nevada and Utah,"13, 14, 16, 20, 24, 21"
16,Snake River Plain,NA,NA,NA,1,2,0,5,Greater Idaho,"5, 17, 18, 19, 20, 15, 14"
17,Columbia River Plateau,NA,NA,NA,0,0,0,4,Greater Idaho,"4, 5, 16, 18"
18,Bitterroot Range,NA,NA,NA,0,0,3,2,Greater Idaho,"17, 16, 19, 27, 28"
19,Grand Tetons,NA,NA,NA,0,0,3,0,Rockies,"16, 18, 27, 20"
20,Great Salt Lake,NA,NA,NA,0,0,3,1,Nevada and Utah,"15, 16, 19, 27, 25, 24"
21,Grand Canyon,Las Vegas,Phoenix,NA,0,0,0,3,Greater Arizona,"12, 22, 24,  15, 13"
22,Sonoran Desert,Phoenix,NA,NA,0,1,0,1,Greater Arizona,"12, 21, 23"
23,Chihuahuan Desert,Phoenix,NA,NA,0,0,0,5,Greater Arizona,"22, 24, 34"
24,Colorado Plateau,Phoenix,NA,NA,0,0,2,0,Greater Arizona,"21, 15, 20, 25, 34, 23"
25,Rocky Mountains,Denver,NA,NA,0,0,3,5,Rockies,"20, 27, 26, 33, 34, 24"
26,Laramie,Denver,NA,NA,0,0,5,0,Rockies,"25, 27, 31, 32, 33"
27,Powder River,NA,NA,NA,0,0,5,0,Rockies,"19, 18, 28, 30, 31, 26, 25, 20"
28,Little Bighorn,NA,NA,NA,1,1,0,0,Western Dakotas,"18, 27, 30, 29"
29,Missouri River Headwaters,NA,NA,NA,3,2,3,0,Western Dakotas,"28, 30,  31, 32, 45"
30,Badlands,NA,NA,NA,0,2,2,0,Western Dakotas,"28, 27, 31, 29"
31,Black Hills,NA,NA,NA,0,2,0,0,Western Dakotas,"30, 29, 32, 26, 27"
32,Great Plains,NA,NA,NA,3,3,0,0,Bread Basket,"31, 29, 45, 43, 42, 33, 26"
33,High Plains,Denver,NA,NA,2,4,0,0,Bread Basket,"26, 32, 42, 35, 34, 25"
34,Llano Estacado,NA,NA,NA,0,0,0,0,Greater Oklahoma,"24, 25, 33, 35, 36, 23"
35,Panhandle Plains,NA,NA,NA,2,4,3,0,Greater Oklahoma,"34, 33, 42, 41, 40, 38, 36"
36,Big Bend Country,NA,NA,NA,0,3,5,1,Southern Texas,"34, 35, 38, 37"
37,Rio Grande,Houston,NA,NA,0,2,5,0,Southern Texas,"36, 38"
38,Hill Country,Houston,Dallas,NA,0,3,2,0,Southern Texas,"36, 35, 40, 39, 37"
39,Pineywoods,Houston,Dallas,NA,0,4,3,0,Southern Texas,"38, 40, 51, 52, 53"
40,Lake Texoma,Dallas,NA,NA,1,4,5,0,Greater Oklahoma,"35, 41, 51, 39, 38"
41,Osage Hills,NA,NA,NA,2,2,5,0,Greater Oklahoma,"35, 42, 50, 51, 40"
42,Flint Hills,Kansas City,NA,NA,3,2,1,0,Bread Basket,"33, 32, 43, 50, 41, 35"
43,Dissected Till Plains,Kansas City,NA,NA,5,3,0,0,Bread Basket,"42, 32, 45, 44, 48"
44,Loess Hill,Kansas City,NA,NA,5,4,0,0,Greater Minnesota,"45, 47, 48, 43"
